Simp-Uni	Simp-C	S-attest	Trad
\u52A2	劢	1	勱
\u52A8	动	644	動
\u52AB	劫	39	刦刧刼
\u52B1	励	12	勵
\u52B2	劲	73	勁
\u52B3	劳	139	勞
\u52BF	势	116	勢
\u52CB	勋	15	勛勳勲
\u52DA	勚	1	勩
\u52E4	勤	73	懃
\u5300	匀	14	勻
\u5306	匆	12	怱悤
\u531D	匝	10	帀
\u5326	匦	2	匭
\u532E	匮	23	匱
\u5339	匹	29	疋
\u533A	区	1250	區
\u533B	医	129	醫
\u533E	匾	5	楄
\u5343	千	164	韆
\u5347	升	74	昇陞
\u534E	华	248	華
\u534F	协	90	協
\u5352	卒	24	䘚
\u5355	单	263	單
\u5356	卖	102	賣
\u535A	博	152	愽
\u535C	卜	52	蔔
\u5360	占	50	佔
\u5362	卢	50	盧
\u5364	卤	28	鹵滷
\u5367	卧	51	臥
\u536B	卫	140	衛
\u536E	卮	2	巵
\u536F	卯	16	夘戼
\u5374	却	22	㕁卻
\u5377	卷	98	捲
\u537A	卺	4	巹
\u5382	厂	68	廠
\u5384	厄	21	戹
\u5385	厅	47	廳
\u5386	历	113	歷曆厤歴
\u5389	厉	28	厲
\u538B	压	158	壓
\u538C	厌	47	厭
\u538D	厍	1	厙
\u5390	厐	1	龎
\u5395	厕	17	廁厠
\u5398	厘	21	釐
\u53A2	厢	15	廂
\u53A3	厣	1	厴
\u53A6	厦	19	廈
\u53A8	厨	18	㕑廚
\u53A9	厩	3	廄廐
\u53AE	厮	11	廝
\u53BF	县	1861	縣
\u53C1	叁	2	參
\u53C2	参	92	參叅葠蓡
\u53C6	叆	4	靉
\u53C7	叇	2	靆
\u53CC	双	194	雙
\u53D1	发	539	發髮
\u53D8	变	268	變
\u53D9	叙	32	敘敍
\u53E0	叠	27	疊曡疉
\u53E9	叩	13	敂
\u53EA	只	54	隻祇秖衹
\u53EB	叫	59	呌
\u53F0	台	358	臺檯颱
\u53F6	叶	153	葉
\u53F7	号	237	號
\u53F9	叹	42	嘆歎
\u53FD	叽	11	嘰
\u5401	吁	15	籲
\u5403	吃	160	喫
\u5408	合	480	閤
\u540A	吊	81	弔
\u540C	同	331	仝衕
\u540E	后	348	後
\u5411	向	155	嚮曏
\u5413	吓	19	嚇
\u5415	吕	21	呂
\u5417	吗	6	嗎
