Simp-Uni	Simp-C	S-attest	Trad
\u6B24	欤	1	歟
\u6B27	欧	113	歐
\u6B32	欲	75	慾
\u6B4C	歌	98	謌
\u6B7C	歼	7	殲
\u6B81	殁	1	歿
\u6B87	殇	3	殤
\u6B8B	残	73	殘
\u6B92	殒	4	殞
\u6B93	殓	2	殮
\u6B9A	殚	9	殫
\u6BA1	殡	6	殯
\u6BB4	殴	7	毆
\u6BC1	毁	36	毀燬譭
\u6BC2	毂	6	轂
\u6BD5	毕	41	畢
\u6BD7	毗	8	毘
\u6BD9	毙	14	斃獘
\u6BE1	毡	9	氈氊
\u6BF5	毵	1	毿
\u6C07	氇	1	氌
\u6C14	气	578	氣
\u6C22	氢	41	氫
\u6C29	氩	1	氬
\u6C32	氲	2	氳
\u6C47	汇	89	匯彙滙
\u6C49	汉	194	漢
\u6C5E	汞	9	銾
\u6C61	污	50	汚
\u6C64	汤	83	湯
\u6C79	汹	5	洶
\u6C88	沈	22	瀋
\u6C89	沉	87	沈
\u6C9F	沟	53	溝
\u6CA1	没	141	沒
\u6CA3	沣	2	灃
\u6CA4	沤	4	漚
\u6CA5	沥	9	瀝
\u6CA6	沦	14	淪
\u6CA7	沧	26	滄
\u6CA9	沩	1	溈
\u6CAA	沪	13	滬
\u6CBE	沾	33	霑
\u6CC4	泄	39	洩
\u6CD5	法	563	㳒灋
\u6CDB	泛	39	氾汎
\u6CDE	泞	2	濘
\u6CE8	注	101	註
\u6CEA	泪	41	淚
\u6CEF	泯	6	冺
\u6CF7	泷	5	瀧
\u6CF8	泸	14	瀘
\u6CFA	泺	1	濼
\u6CFB	泻	20	瀉
\u6CFC	泼	23	潑
\u6CFD	泽	75	澤
\u6CFE	泾	10	涇
\u6D01	洁	43	潔
\u6D12	洒	22	灑
\u6D3C	洼	9	窪
\u6D43	浃	4	浹
\u6D45	浅	55	淺
\u6D46	浆	48	漿
\u6D47	浇	10	澆
\u6D48	浈	3	湞
\u6D4A	浊	17	濁
\u6D4B	测	96	測
\u6D4D	浍	1	澮
\u6D4E	济	140	濟
\u6D4F	浏	9	瀏
\u6D50	浐	2	滻
\u6D51	浑	36	渾
\u6D52	浒	6	滸
\u6D53	浓	32	濃
\u6D54	浔	5	潯
\u6D59	浙	10	淛
\u6D5A	浚	7	濬
\u6D63	浣	14	澣
\u6D82	涂	55	塗
\u6D85	涅	27	湼
\u6D8C	涌	23	湧
\u6D8E	涎	14	㳄
\u6D9B	涛	10	濤
\u6D9D	涝	6	澇
\u6D9E	涞	5	淶
\u6D9F	涟	10	漣
\u6DA0	涠	1	潿
\u6DA1	涡	24	渦
\u6DA2	涢	1	溳
\u6DA3	涣	4	渙
\u6DA4	涤	30	滌
\u6DA6	润	47	潤
\u6DA7	涧	15	㵎澗
\u6DA8	涨	27	漲
\u6DA9	涩	18	澀澁
\u6DC0	淀	16	澱
\u6DC6	淆	9	殽
\u6DEB	淫	48	滛
\u6DF1	深	152	㴱
\u6DF3	淳	11	湻
\u6E0A	渊	41	淵
\u6E0C	渌	3	淥
\u6E0D	渍	7	漬
\u6E0E	渎	6	瀆
\u6E10	渐	21	漸
\u6E11	渑	3	澠
\u6E14	渔	30	漁
\u6E17	渗	18	滲
\u6E29	温	149	溫
\u6E38	游	186	遊
\u6E7E	湾	73	灣
\u6E7F	湿	45	濕溼
\u6E83	溃	18	潰
\u6E85	溅	9	濺
\u6E86	溆	3	漵
\u6EAA	溪	99	谿
\u6EAF	溯	10	遡
\u6ED7	滗	1	潷
\u6EDA	滚	37	滾
\u6EDE	滞	25	滯
\u6EDF	滟	1	灩
\u6EE0	滠	1	灄
\u6EE1	满	197	滿
\u6EE2	滢	1	瀅
\u6EE4	滤	26	濾
\u6EE5	滥	30	濫
\u6EE6	滦	9	灤
\u6EE8	滨	47	濱
\u6EE9	滩	24	灘
\u6F13	漓	9	灕
\u6F31	漱	10	潄
\u6F46	潆	1	瀠
\u6F47	潇	5	瀟
\u6F4B	潋	1	瀲
\u6F4D	潍	6	濰
\u6F5C	潜	59	潛
\u6F74	潴	1	瀦
\u6F84	澄	22	澂
\u6F9C	澜	12	瀾
\u6FD1	濑	1	瀨
\u6FD2	濒	11	瀕
\u704F	灏	1	灝
\u706D	灭	70	滅
\u706F	灯	129	燈
\u7075	灵	151	靈
\u7076	灶	23	竈
\u707E	灾	64	災烖菑
\u707F	灿	8	燦
\u7080	炀	3	煬
\u7089	炉	53	爐鑪
\u7095	炕	7	匟
\u7096	炖	6	燉
\u709C	炜	1	煒
\u709D	炝	1	熗
\u70AE	炮	77	砲
\u70AF	炯	7	烱
\u70B9	点	354	點
\u70BC	炼	44	煉鍊
\u70BD	炽	10	熾
\u70C1	烁	9	爍
\u70C2	烂	45	爛
\u70C3	烃	13	烴
\u70DB	烛	19	燭
\u70DF	烟	138	煙
\u70E6	烦	38	煩
\u70E7	烧	81	燒
\u70E8	烨	3	燁爗
\u70E9	烩	5	燴
\u70EB	烫	17	燙
\u70EC	烬	4	燼
\u70ED	热	245	熱
\u710A	焊	14	銲
\u7115	焕	8	煥
\u7116	焖	2	燜
\u7118	焘	3	燾
\u7130	焰	13	燄
\u7167	照	127	炤
\u716E	煮	20	煑
\u718F	熏	30	薰燻
\u7199	熙	17	熈
\u71D5	燕	51	鷰
\u71EE	燮	6	爕
\u7231	爱	212	愛
\u7237	爷	38	爺
\u724D	牍	5	牘
\u7266	牦	2	氂
\u7275	牵	46	牽
\u727A	牺	7	犧
\u728A	犊	10	犢
\u72B6	状	131	狀
\u72B7	犷	2	獷
\u72B8	犸	3	獁
\u72B9	犹	40	猶
\u72C8	狈	4	狽
\u72DD	狝	2	獮
\u72DE	狞	4	獰
\u72EC	独	147	獨
\u72ED	狭	21	狹陿
\u72EE	狮	42	獅
\u72EF	狯	1	獪
\u72F0	狰	2	猙
\u72F1	狱	28	獄
\u72F2	狲	3	猻
\u72F7	狷	2	獧
\u72F8	狸	16	貍
\u7303	猃	2	獫
\u730A	猊	2	貎
\u730E	猎	41	獵
\u7315	猕	3	獼
\u7321	猡	1	玀
\u732A	猪	51	豬
\u732B	猫	65	貓
\u732C	猬	2	蝟
\u732E	献	35	獻
\u733F	猿	15	猨蝯
\u7350	獐	3	麞
\u736D	獭	5	獺
\u737E	獾	6	䝔貛
\u7391	玑	2	璣
\u7399	玙	1	璵
\u739B	玛	98	瑪
\u73A1	玡	6	琊
\u73A9	玩	71	翫
\u73AE	玮	3	瑋
\u73AF	环	179	環
\u73B0	现	144	現
\u73B1	玱	1	瑲
\u73B3	玳	5	瑇
\u73BA	玺	8	璽
\u73CD	珍	52	珎
\u73CF	珏	1	玨
\u73D0	珐	3	琺
\u73D1	珑	5	瓏
\u73F0	珰	1	璫
\u73F2	珲	4	琿
\u7405	琅	15	瑯
\u7409	琉	16	瑠璢
\u740F	琏	1	璉
\u7410	琐	13	瑣
\u7434	琴	72	琹
\u743C	琼	27	瓊
\u7470	瑰	13	瓌
\u7476	瑶	21	瑤
\u7477	瑷	2	璦
\u7483	璃	24	琍瓈
\u7487	璇	5	璿
\u748E	璎	2	瓔
\u74D2	瓒	1	瓚
\u74EE	瓮	17	甕罋
\u74EF	瓯	7	甌
\u74F6	瓶	52	缾
\u7535	电	556	電
\u753B	画	113	畫
\u7545	畅	25	暢
\u7559	留	132	㽞畱
\u7565	略	95	畧
\u7572	畲	8	畬
\u7574	畴	7	疇
\u758F	疏	62	疎
\u7596	疖	1	癤
\u7597	疗	60	療
\u759F	疟	8	瘧
\u75A0	疠	2	癘
\u75A1	疡	3	瘍
\u75AC	疬	2	癧
\u75AD	疭	2	瘲
\u75AE	疮	21	瘡
\u75AF	疯	20	瘋
\u75B1	疱	12	皰
\u75B4	疴	2	痾
\u75C7	症	187	癥
\u75C8	痈	3	癰
\u75C9	痉	7	痙
\u75D2	痒	28	癢
\u75D6	痖	1	瘂
\u75E8	痨	7	癆
\u75EA	痪	3	瘓
\u75EB	痫	4	癇
\u75F1	痱	3	疿
\u75F4	痴	31	癡
\u75F9	痹	12	痺
\u7605	瘅	3	癉
\u7606	瘆	1	瘮
\u7617	瘗	1	瘞
\u7618	瘘	1	瘻
\u7624	瘤	29	癅
\u762A	瘪	7	㿜癟
\u762B	瘫	11	癱
\u763E	瘾	14	癮
\u763F	瘿	1	癭
\u765E	癞	3	癩
\u7663	癣	10	癬
\u766B	癫	8	癲
\u768B	皋	9	皐臯
\u7691	皑	5	皚
\u7693	皓	11	暠皜
\u76B1	皱	17	皺
\u76B2	皲	1	皸
\u76CD	盍	2	盇
\u76CF	盏	2	盞
\u76D0	盐	91	鹽
\u76D1	监	77	監
\u76D6	盖	95	蓋
\u76D7	盗	41	盜
\u76D8	盘	176	盤槃
\u770D	眍	2	瞘
\u7726	眦	6	眥
\u772C	眬	2	矓
\u772F	眯	8	瞇
\u7737	眷	21	睠
\u7740	着	177	著
\u7741	睁	9	睜
\u7750	睐	4	睞
\u7751	睑	6	瞼
\u776C	睬	7	倸
\u7779	睹	16	覩
\u777E	睾	10	睪
\u777F	睿	4	叡
\u7785	瞅	5	矁
\u7792	瞒	11	瞞
\u77A9	瞩	5	矚
\u77B0	瞰	9	矙
\u77E9	矩	27	榘
\u77EB	矫	25	矯
\u77F6	矶	7	磯
\u77FE	矾	6	礬
\u77FF	矿	79	礦鑛
\u7800	砀	3	碭
\u7801	码	119	碼
\u7816	砖	29	磚塼甎
\u7817	砗	2	硨
\u781A	砚	32	硯
\u781C	砜	1	碸
\u7827	砧	7	碪
\u783A	砺	3	礪
\u783B	砻	2	礱
\u783E	砾	10	礫
\u7840	础	13	礎
\u7841	硁	1	硜
\u7855	硕	22	碩
\u7856	硖	1	硤
\u7857	硗	1	磽
\u7859	硙	7	磑
\u785A	硚	4	礄
\u786E	确	41	確
\u7877	硷	3	礆
\u7887	碇	6	椗矴
\u788C	碌	16	磟
\u788D	碍	32	礙
\u7897	碗	25	㼝椀盌
\u789B	碛	3	磧
\u789C	碜	4	磣
\u78B0	碰	29	掽踫
\u78B1	碱	56	鹼鹻
\u78F7	磷	38	粦
\u7934	礴	2	礡
\u793C	礼	134	禮
\u7940	祀	6	禩
\u7943	祃	1	禡
\u794E	祎	2	禕
\u7962	祢	2	禰
\u7966	祦	1	禑
\u796F	祯	4	禎
\u7977	祷	18	禱
\u7978	祸	50	禍旤
\u7980	禀	10	稟
\u7984	禄	54	祿
\u7985	禅	27	禪
\u79BB	离	165	離
\u79C3	秃	15	禿
\u79C6	秆	4	稈
\u79CB	秋	114	鞦秌
\u79CD	种	151	種
\u79D5	秕	5	粃
\u79D8	秘	42	祕
\u79EF	积	132	積
\u79F0	称	113	稱
\u79F8	秸	4	稭
\u79FD	秽	8	穢
\u79FE	秾	1	穠
\u7A0E	税	66	稅
\u7A17	稗	2	粺
\u7A1A	稚	14	稺穉
\u7A23	稣	11	穌
\u7A33	稳	54	穩
\u7A3F	稿	32	稾
\u7A51	穑	2	穡
\u7A5E	穞	1	穭
\u7A77	穷	66	窮
\u7A83	窃	34	竊
\u7A8D	窍	14	竅
\u7A8E	窎	1	窵
\u7A91	窑	14	窯窰
\u7A97	窗	53	牎牕窓窻
\u7A9C	窜	16	竄
\u7A9D	窝	60	窩
\u7AA5	窥	17	窺闚
\u7AA6	窦	23	竇
\u7AAD	窭	1	窶
\u7AD6	竖	22	豎竪
\u7ADE	竞	36	競
\u7AEF	端	108	耑
\u7B03	笃	19	篤
\u7B0B	笋	9	筍
\u7B11	笑	124	咲
\u7B14	笔	147	筆
\u7B15	笕	1	筧
\u7B3A	笺	6	箋椾牋
\u7B3C	笼	36	籠
\u7B3E	笾	1	籩
\u7B4F	筏	6	栰
\u7B51	筑	21	築
\u7B52	筒	36	筩
\u7B56	策	65	筞筴
\u7B5A	筚	5	篳
\u7B5B	筛	12	篩
\u7B5C	筜	3	簹
\u7B5D	筝	5	箏
\u7B72	筲	9	䈰
\u7B79	筹	38	籌
\u7B7C	筼	3	篔
\u7B7E	签	52	簽籤籖
\u7B80	简	80	簡
\u7B93	箓	2	籙
\u7BA1	管	316	筦
\u7BA6	箦	1	簀
\u7BA7	箧	17	篋
\u7BA8	箨	1	籜
\u7BA9	箩	6	籮
\u7BAA	箪	4	簞
\u7BAB	箫	8	簫
\u7BB8	箸	3	筯
\u7BD1	篑	2	簣
\u7BD3	篓	5	簍
\u7BE1	篡	15	簒
\u7BEE	篮	23	籃
\u7BEF	篯	1	籛
\u7BF1	篱	14	籬
\u7C16	簖	1	籪
\u7C2A	簪	4	簮
\u7C41	籁	4	籟
\u7C74	籴	1	糴
\u7C7B	类	157	類
\u7C97	粗	60	觕麤
\u7C9C	粜	1	糶
\u7C9D	粝	2	糲
\u7CA4	粤	10	粵
\u7CAA	粪	23	糞
\u7CAE	粮	54	糧
\u7CB3	粳	5	秔稉
\u7CBD	粽	3	糉
\u7CC1	糁	2	糝
\u7CC7	糇	1	餱
\u7CCA	糊	63	䊀餬
\u7CD5	糕	30	餻
\u7CD6	糖	122	餹
\u7CE0	糠	15	穅粇
\u7CEF	糯	11	稬穤
\u7CFB	系	216	係繫
\u7D27	紧	87	緊
\u7D2F	累	80	纍
\u7D77	絷	1	縶
\u7E41	繁	56	緐
\u7E82	纂	4	篹
\u7EA0	纠	17	糾糺
\u7EA1	纡	2	紆
\u7EA2	红	289	紅
\u7EA3	纣	5	紂
\u7EA4	纤	64	纖縴
\u7EA5	纥	3	紇
\u7EA6	约	221	約
\u7EA7	级	163	級
\u7EA8	纨	3	紈
\u7EA9	纩	1	纊
\u7EAA	纪	102	紀
\u7EAB	纫	3	紉
\u7EAC	纬	16	緯
\u7EAD	纭	6	紜
\u7EAE	纮	1	紘
\u7EAF	纯	42	純
\u7EB0	纰	3	紕
\u7EB1	纱	26	紗
\u7EB2	纲	37	綱
\u7EB3	纳	247	納
\u7EB4	纴	3	紝
\u7EB5	纵	56	縱
\u7EB6	纶	12	綸
\u7EB7	纷	29	紛
\u7EB8	纸	127	紙帋
\u7EB9	纹	44	紋
\u7EBA	纺	14	紡
\u7EBB	纻	1	紵
\u7EBD	纽	39	紐
\u7EBE	纾	7	紓
\u7EBF	线	365	線綫
\u7EC0	绀	2	紺
\u7EC1	绁	2	紲絏
\u7EC2	绂	1	紱
\u7EC3	练	42	練
\u7EC4	组	157	組
\u7EC5	绅	6	紳
\u7EC6	细	170	細
\u7EC7	织	135	織
\u7EC8	终	85	終
\u7EC9	绉	4	縐
\u7ECA	绊	11	絆
\u7ECB	绋	2	紼
\u7ECC	绌	6	絀
\u7ECD	绍	20	紹
\u7ECE	绎	5	繹
\u7ECF	经	365	經
\u7ED0	绐	1	紿
\u7ED1	绑	16	綁
\u7ED2	绒	21	絨
\u7ED3	结	240	結
\u7ED4	绔	2	絝
\u7ED5	绕	42	繞遶
\u7ED6	绖	1	絰
\u7ED7	绗	2	絎
\u7ED8	绘	16	繪
\u7ED9	给	47	給
\u7EDA	绚	4	絢
\u7EDB	绛	6	絳
\u7EDC	络	83	絡
\u7EDD	绝	137	絕絶
\u7EDE	绞	19	絞
\u7EDF	统	182	統
\u7EE0	绠	1	綆
\u7EE1	绡	1	綃
\u7EE2	绢	2	絹
\u7EE3	绣	18	繡綉
\u7EE4	绤	1	綌
\u7EE5	绥	29	綏
\u7EE6	绦	12	絛縧
\u7EE7	继	48	繼
\u7EE8	绨	1	綈
\u7EE9	绩	20	績勣
\u7EEA	绪	27	緒
\u7EEB	绫	1	綾
\u7EED	续	63	續
\u7EEE	绮	24	綺
\u7EEF	绯	3	緋
\u7EF0	绰	12	綽
\u7EF1	绱	1	緔
\u7EF2	绲	2	緄
\u7EF3	绳	37	繩
\u7EF4	维	232	維
\u7EF5	绵	42	綿緜
\u7EF6	绶	4	綬
\u7EF7	绷	17	繃綳
\u7EF8	绸	12	綢
\u7EF9	绹	1	綯
\u7EFA	绺	2	綹
\u7EFB	绻	2	綣
\u7EFC	综	40	綜
\u7EFD	绽	14	綻
\u7EFE	绾	1	綰
\u7EFF	绿	110	綠
\u7F00	缀	22	綴
\u7F01	缁	1	緇
\u7F02	缂	1	緙
\u7F03	缃	1	緗
\u7F04	缄	4	椷緘
\u7F05	缅	13	緬
\u7F06	缆	17	纜
\u7F07	缇	1	緹
\u7F08	缈	4	緲
\u7F09	缉	15	緝
\u7F0A	缊	2	縕
\u7F0B	缋	1	繢
\u7F0C	缌	1	緦
\u7F0E	缎	12	緞
\u7F0F	缏	1	緶
\u7F11	缑	1	緱
\u7F12	缒	1	縋
\u7F13	缓	56	緩
\u7F14	缔	9	締
\u7F15	缕	12	縷
\u7F16	编	88	編
\u7F17	缗	1	緡
\u7F18	缘	55	緣
\u7F19	缙	3	縉
\u7F1A	缚	12	縛
\u7F1B	缛	3	縟
\u7F1C	缜	5	縝
\u7F1D	缝	50	縫
\u7F1E	缞	1	縗
\u7F1F	缟	3	縞
\u7F20	缠	28	纏
\u7F21	缡	2	縭
\u7F22	缢	7	縊
\u7F23	缣	1	縑
\u7F24	缤	5	繽
\u7F25	缥	5	縹
\u7F26	缦	2	縵
\u7F27	缧	1	縲
\u7F28	缨	7	纓
\u7F29	缩	75	縮
\u7F2A	缪	12	繆
\u7F2B	缫	1	繅
\u7F2C	缬	2	纈
\u7F2D	缭	6	繚
\u7F2E	缮	4	繕
\u7F2F	缯	3	繒
\u7F30	缰	6	韁繮
\u7F31	缱	2	繾
\u7F32	缲	2	繰
\u7F33	缳	4	繯
\u7F34	缴	18	繳
\u7F35	缵	1	纘
\u7F42	罂	4	甖罌
\u7F50	罐	25	鑵
\u7F51	网	285	網
\u7F54	罔	5	㒺
\u7F57	罗	417	羅囉
\u7F5A	罚	29	罰罸
\u7F62	罢	22	罷
\u7F6A	罪	134	辠
\u7F74	罴	3	羆
\u7F81	羁	11	羈覊
\u7F8C	羌	13	羗
\u7F9F	羟	5	羥
\u7FA1	羡	14	羨
\u7FA4	群	145	羣
\u7FC5	翅	32	翄
\u7FD8	翘	31	翹
\u7FD9	翙	1	翽
\u7FDA	翚	1	翬
\u7FF1	翱	4	翺
\u7FF3	翳	4	瞖
\u7FFB	翻	93	飜
\u8003	考	103	攷
\u8015	耕	34	畊
\u8027	耧	1	耬
\u8038	耸	9	聳
\u803B	耻	27	恥
\u803D	耽	8	躭
\u8042	聂	9	聶
\u804B	聋	12	聾
\u804C	职	116	職
\u804D	聍	2	聹
\u8054	联	238	聯
\u8069	聩	5	聵
\u806A	聪	21	聰
\u8083	肃	29	肅
\u8087	肇	25	肈
\u809B	肛	8	疘
\u80A0	肠	78	腸膓
\u80A4	肤	24	膚
\u80AE	肮	2	骯
\u80AF	肯	34	肎
\u80B4	肴	6	餚殽
\u80BE	肾	15	腎
\u80BF	肿	38	腫
\u80C0	胀	21	脹
\u80C1	胁	13	脅脇
\u80C6	胆	83	膽
\u80CC	背	117	揹
\u80DA	胚	21	肧
\u80DC	胜	107	勝
\u80E1	胡	134	鬍衚
\u80E7	胧	4	朧
\u80E8	胨	2	腖
\u80EA	胪	2	臚
\u80EB	胫	5	脛踁
\u80ED	胭	4	臙
\u80F3	胳	12	肐
\u80F6	胶	100	膠
\u80F8	胸	78	胷
\u8106	脆	17	脃
\u8109	脉	115	䘑脈衇
\u810D	脍	3	膾
\u810F	脏	37	臟髒
\u8110	脐	11	臍
\u8111	脑	176	腦
\u8113	脓	12	膿
\u8114	脔	2	臠
\u811A	脚	183	腳
\u8131	脱	136	脫
\u8136	脶	1	腡
\u8138	脸	115	臉
\u814A	腊	25	臘
\u814C	腌	13	醃
\u8158	腘	8	膕
\u816D	腭	4	齶
\u816E	腮	14	顋
\u817B	腻	15	膩
\u817C	腼	3	靦
\u817D	腽	4	膃
\u817E	腾	57	騰
\u817F	腿	51	骽
\u8180	膀	20	髈
\u8191	膑	4	臏
\u8198	膘	6	臕
\u819D	膝	24	厀
\u81B3	膳	7	饍
\u81BB	膻	3	羴
\u81C0	臀	20	臋
\u81DC	臜	2	臢
\u81F4	致	95	緻
\u8206	舆	13	輿
\u820D	舍	73	捨
\u8223	舣	1	艤
\u8230	舰	48	艦
\u8231	舱	31	艙
\u8239	船	147	舩
\u823B	舻	1	艫
\u8270	艰	16	艱
\u8273	艳	31	艷豔艶豓
\u827A	艺	68	藝
\u8282	节	267	節
\u8288	芈	2	羋
\u8297	芗	4	薌
\u829C	芜	25	蕪
\u82A6	芦	44	蘆
\u82B1	花	547	芲蘤
\u82B2	芲	2	菕
\u82B8	芸	14	蕓
\u82C1	苁	1	蓯
\u82C7	苇	3	葦
\u82C8	苈	1	藶
\u82CB	苋	7	莧
\u82CC	苌	3	萇
\u82CD	苍	46	蒼
\u82CE	苎	2	苧
\u82CF	苏	156	蘇囌甦蘓
\u82F9	苹	14	蘋
\u8303	范	56	範
\u830E	茎	16	莖
\u830F	茏	3	蘢
\u8311	茑	1	蔦
\u8314	茔	2	塋
\u8315	茕	3	煢
\u8327	茧	10	繭蠒
\u8346	荆	24	荊
\u8349	草	238	艸
\u8350	荐	20	薦
\u8354	荔	15	茘
\u8359	荙	1	薘
\u835A	荚	7	莢
\u835B	荛	2	蕘
\u835C	荜	6	蓽
\u835E	荞	3	荍蕎
\u835F	荟	3	薈
\u8360	荠	4	薺
\u8361	荡	70	蕩盪
\u8363	荣	81	榮
\u8364	荤	12	葷
\u8365	荥	6	滎
\u8366	荦	1	犖
\u8367	荧	14	熒
\u8368	荨	3	蕁
\u8369	荩	1	藎
\u836A	荪	1	蓀
\u836B	荫	16	蔭廕
\u836C	荬	3	蕒
\u836D	荭	1	葒
\u836F	药	181	藥葯
\u8385	莅	9	涖蒞
\u83B1	莱	110	萊
\u83B2	莲	45	蓮
\u83B3	莳	6	蒔
\u83B4	莴	3	萵
\u83B7	获	62	穫獲
\u83B8	莸	2	蕕
\u83B9	莹	6	瑩
\u83BA	莺	9	鶯鸎
\u83BC	莼	4	蒓蓴
\u83F1	菱	10	蔆
\u841D	萝	33	蘿
\u8424	萤	14	螢
\u8425	营	141	營
\u8426	萦	3	縈
\u8427	萧	26	蕭
\u8428	萨	173	薩
\u8431	萱	7	萲蕿藼蘐
\u843C	萼	4	蕚
\u846C	葬	36	塟
\u8471	葱	24	蔥
\u8482	蒂	55	蔕
\u8487	蒇	1	蕆
\u8489	蒉	2	蕢
\u848B	蒋	8	蔣
\u848C	蒌	1	蔞
\u8499	蒙	148	懞濛矇
\u84D1	蓑	5	簑
\u84DD	蓝	85	藍
\u84DF	蓟	6	薊
\u84E0	蓠	2	蘺
\u84E3	蓣	2	蕷
\u84E5	蓥	3	鎣
\u84E6	蓦	4	驀
\u8511	蔑	10	衊
\u8537	蔷	4	薔
\u8539	蔹	2	蘞
\u853A	蔺	5	藺
\u853C	蔼	7	藹
\u854A	蕊	12	橤蕋蘂
\u8570	蕰	1	薀
\u8572	蕲	3	蘄
\u8574	蕴	17	蘊
\u85AE	薮	8	藪
\u85AF	薯	20	藷
\u85D3	藓	6	蘚
\u85E4	藤	27	籐
\u8616	蘖	3	櫱
\u864F	虏	10	虜
\u8651	虑	34	慮
\u865A	虚	108	虛
\u866B	虫	144	蟲
\u866C	虬	1	虯
\u866E	虮	2	蟣
\u8671	虱	10	蝨
\u867B	虻	3	蝱
\u867D	虽	14	雖
\u867E	虾	28	蝦
\u867F	虿	1	蠆
\u8680	蚀	28	蝕
\u8681	蚁	15	蟻
\u8682	蚂	11	螞
\u868A	蚊	18	螡蟁
\u8695	蚕	32	蠶
\u869D	蚝	2	蠔
\u86AC	蚬	1	蜆
\u86C7	蛇	74	虵
\u86CA	蛊	7	蠱
\u86CE	蛎	5	蠣
\u86CF	蛏	1	蟶
\u86D4	蛔	8	痐蚘蛕蜖
\u86D9	蛙	15	鼃
\u86EE	蛮	18	蠻
\u86F0	蛰	9	蟄
\u86F1	蛱	2	蛺
\u86F2	蛲	3	蟯
\u86F3	蛳	2	螄
\u86F4	蛴	2	蠐
\u8702	蜂	47	䗬蠭
\u8715	蜕	9	蛻
\u8717	蜗	15	蝸
\u8721	蜡	36	蠟
\u8747	蝇	10	蠅
\u8748	蝈	9	蟈
\u8749	蝉	15	蟬
\u874E	蝎	6	蠍
\u8776	蝶	23	蜨
\u877C	蝼	6	螻
\u877E	蝾	5	蠑
\u8780	螀	1	螿
\u8782	螂	12	蜋
\u878D	融	70	螎
\u87A8	螨	3	蟎
\u87C6	蟆	6	蟇
\u87CF	蟏	3	蠨
\u87F9	蟹	28	蠏
\u8815	蠕	9	蝡
\u8822	蠢	17	惷
\u8844	衄	3	䶊衂
\u8845	衅	8	釁
\u8854	衔	18	銜啣衘
\u8865	补	125	補
\u8868	表	224	錶
\u886C	衬	18	襯
\u886E	衮	3	袞
\u887D	衽	4	袵
\u8884	袄	7	襖
\u8885	袅	9	嫋嬝裊褭
\u8886	袆	1	褘
\u8892	袒	20	襢
\u889C	袜	18	襪韈韤
\u88AD	袭	28	襲
\u88AF	袯	2	襏
\u88C5	装	183	裝
\u88C6	裆	3	襠
\u88C8	裈	1	褌
\u88D9	裙	24	帬裠
\u88E2	裢	3	褳
\u88E3	裣	2	襝
\u88E4	裤	49	褲袴
\u88E5	裥	1	襇
\u88F8	裸	32	臝躶
\u8912	褒	11	襃
\u8913	褓	5	緥
\u891B	褛	2	褸
\u8934	褴	2	襤
\u8941	襁	3	繦
\u8955	襕	1	襴
\u89C1	见	260	見
\u89C2	观	140	觀
\u89C4	规	109	規槼
\u89C5	觅	11	覓覔
\u89C6	视	206	視眎眡
\u89C7	觇	2	覘
\u89C8	览	40	覽
\u89C9	觉	66	覺
\u89CA	觊	2	覬
\u89CB	觋	2	覡
\u89CC	觌	1	覿
\u89CD	觍	1	覥
\u89CE	觎	2	覦
\u89CF	觏	1	覯
\u89D0	觐	3	覲
\u89D1	觑	14	覷
\u89DE	觞	2	觴
\u89E6	触	62	觸
\u89EF	觯	1	觶
\u8A1A	訚	2	誾
\u8A5F	詟	1	讋
\u8A89	誉	33	譽
\u8A8A	誊	3	謄
\u8BA0	讠	1	訁
\u8BA1	计	227	計
\u8BA2	订	45	訂
\u8BA3	讣	3	訃
\u8BA4	认	74	認
\u8BA5	讥	6	譏
\u8BA6	讦	2	訐
\u8BA7	讧	2	訌
\u8BA8	讨	59	討
\u8BA9	让	46	讓
\u8BAA	讪	7	訕
\u8BAB	讫	5	訖
\u8BAC	讬	1	託
\u8BAD	训	48	訓
\u8BAE	议	137	議
\u8BAF	讯	61	訊
\u8BB0	记	190	記
\u8BB1	讱	1	訒
\u8BB2	讲	59	講
\u8BB3	讳	13	諱
\u8BB4	讴	4	謳
\u8BB5	讵	1	詎
\u8BB6	讶	4	訝
\u8BB7	讷	14	訥
\u8BB8	许	64	許
\u8BB9	讹	11	訛譌
\u8BBA	论	212	論
\u8BBC	讼	16	訟
\u8BBD	讽	9	諷
\u8BBE	设	99	設
\u8BBF	访	64	訪
\u8BC0	诀	8	訣
\u8BC1	证	182	證証
\u8BC2	诂	3	詁
\u8BC3	诃	7	訶
\u8BC4	评	68	評
\u8BC5	诅	3	詛
\u8BC6	识	133	識
\u8BC7	诇	1	詗
\u8BC8	诈	33	詐
\u8BC9	诉	50	訴
\u8BCA	诊	34	診
\u8BCB	诋	4	詆
\u8BCC	诌	10	謅
\u8BCD	词	276	䛐詞
\u8BCE	诎	1	詘
\u8BCF	诏	16	詔
\u8BD0	诐	1	詖
\u8BD1	译	44	譯
\u8BD2	诒	2	詒
\u8BD3	诓	2	誆
\u8BD4	诔	1	誄
\u8BD5	试	125	試
\u8BD6	诖	1	詿
\u8BD7	诗	59	詩
\u8BD8	诘	5	詰
\u8BD9	诙	2	詼
\u8BDA	诚	51	誠
\u8BDB	诛	24	誅
\u8BDC	诜	1	詵
\u8BDD	话	237	話諙
\u8BDE	诞	28	誕
\u8BDF	诟	6	詬
